desigcomercial;numbicicletas;numbicicletas__1;numdocasvacias;position;entity_ts;coordinates;lon;lat;coordinates
Retiro;2;2;20;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 13:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;2;2;20;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 14:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;1;1;21;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 15:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;16;16;6;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 19:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;19;19;3;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 19:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;15;15;7;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 22:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;15;15;7;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};08/01/2020 23:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;13;13;9;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 1:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;8;8;14;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 7:19;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 8:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;1;1;21;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 13:01;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;3;3;19;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 13:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;9;9;13;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 16:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;20;20;2;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};09/01/2020 23:39;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;21;21;1;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 0:39;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;18;18;4;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 2:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;7;7;15;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 8:39;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 12:19;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;3;3;19;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 17:01;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;7;7;15;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 19:00;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;8;8;14;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};10/01/2020 19:40;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;9;9;13;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};11/01/2020 0:20;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;11;11;11;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};11/01/2020 6:26;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};11/01/2020 10:06;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;6;6;16;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};11/01/2020 13:26;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;15;15;7;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};11/01/2020 20:26;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;14;14;8;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};11/01/2020 21:06;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;18;18;4;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 0:46;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;17;17;5;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 2:07;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;17;17;5;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 2:27;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;17;17;5;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 5:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;17;17;5;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 6:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;14;14;8;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 8:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;10;10;12;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 9:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;6;6;16;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 13:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 13:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 16:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 17:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;2;2;20;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 18:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;2;2;20;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 19:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;3;3;19;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 20:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;4;4;18;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 21:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;4;4;18;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 22:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};12/01/2020 22:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;7;7;15;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 0:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;6;6;16;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 1:19;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;6;6;16;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 1:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 1:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 2:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 4:38;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 5:18;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 5:58;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;5;5;17;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 6:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;3;3;19;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 7:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;1;1;21;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 11:19;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;0;0;22;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 12:59;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;1;1;21;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 14:19;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;2;2;20;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 15:19;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
Retiro;0;0;22;{'coordinates': [-9.14471, 38.70617], 'type': 'Point'};13/01/2020 17:45;-9.14471, 38.70617];-9.14471,;38.70617];38.70617],-9.14471,
